id,hotel_name,n_comment,rank_in_country,url,overall_rating,address,phone,rank,excellent,good,average,poor,terrible
1,b'YOTEL Singapore',2182,b'#1 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12559807-Reviews-YOTEL_Singapore-Singapore.html,,,,,"1,059",823,203,61,37
2,b'Park Avenue Rochester Hotel',719,b'#2 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2435463-Reviews-Park_Avenue_Rochester_Hotel-Singapore.html,,,,,284,279,107,29,20
3,b'Crowne Plaza Changi Airport',5776,b'#3 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1086295-Reviews-Crowne_Plaza_Changi_Airport-Singapore.html,,,,,"3,159","1,990",398,126,104
4,b'Village Hotel Changi by Far East Hospitality',4987,b'#4 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2090222-Reviews-Village_Hotel_Changi_by_Far_East_Hospitality-Singapore.html,,,,,"1,813","2,066",768,209,131
5,b'Park Avenue Changi Hotel',644,b'#5 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4328402-Reviews-Park_Avenue_Changi_Hotel-Singapore.html,,,,,249,243,108,30,14
6,b'Marina Bay Sands',27368,b'#6 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html,,,,,"15,087","7,369","2,982","1,038",892
7,b'M Social Singapore',935,b'#7 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10048396-Reviews-M_Social_Singapore-Singapore.html,,,,,472,294,98,40,31
8,b'Grand Copthorne Waterfront Hotel',4045,b'#8 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301679-Reviews-Grand_Copthorne_Waterfront_Hotel-Singapore.html,,,,,"1,970","1,233",542,183,117
9,b'One Farrer Hotel',1862,b'#9 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d6530192-Reviews-One_Farrer_Hotel-Singapore.html,,,,,"1,301",423,79,30,29
10,b'Village Hotel Katong by Far East Hospitality',2992,b'#10 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2526267-Reviews-Village_Hotel_Katong_by_Far_East_Hospitality-Singapore.html,,,,,"1,767",961,210,31,23
11,b'Sandpiper Hotel Singapore',515,b'#11 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5438552-Reviews-Sandpiper_Hotel_Singapore-Singapore.html,,,,,269,93,62,32,59
12,b'Holiday Inn Express Singapore Clarke Quay',2628,b'#12 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4885970-Reviews-Holiday_Inn_Express_Singapore_Clarke_Quay-Singapore.html,,,,,"1,077","1,212",260,45,34
