id,hotel_name,n_comment,rank_in_country,url
1,b'Marina Bay Sands',27330,b'#1 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1770798-Reviews-Marina_Bay_Sands-Singapore.html
2,b'Park Avenue Rochester Hotel',717,b'#2 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2435463-Reviews-Park_Avenue_Rochester_Hotel-Singapore.html
3,b'Rendezvous Hotel Singapore by Far East Hospitality',4070,b'#3 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299606-Reviews-Rendezvous_Hotel_Singapore_by_Far_East_Hospitality-Singapore.html
4,b'Hotel Nostalgia',1376,b'#4 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1546256-Reviews-Hotel_Nostalgia-Singapore.html
5,b'ibis Singapore on Bencoolen Hotel',7117,b'#5 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1229624-Reviews-Ibis_Singapore_on_Bencoolen_Hotel-Singapore.html
6,b'Holiday Inn Express Singapore Clarke Quay',2619,b'#6 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4885970-Reviews-Holiday_Inn_Express_Singapore_Clarke_Quay-Singapore.html
7,b'Sandpiper Hotel Singapore',515,b'#7 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5438552-Reviews-Sandpiper_Hotel_Singapore-Singapore.html
8,b'Hotel Jen Orchardgateway Singapore by Shangri-La',2629,b'#8 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7056556-Reviews-Hotel_Jen_Orchardgateway_Singapore_by_Shangri_La-Singapore.html
9,b'Park Hotel Clarke Quay',5945,b'#9 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1239596-Reviews-Park_Hotel_Clarke_Quay-Singapore.html
10,b'M Social Singapore',935,b'#10 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10048396-Reviews-M_Social_Singapore-Singapore.html
11,b'30 Bencoolen',347,b'#11 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305428-Reviews-30_Bencoolen-Singapore.html
12,b'Grand Copthorne Waterfront Hotel',4039,b'#12 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301679-Reviews-Grand_Copthorne_Waterfront_Hotel-Singapore.html
13,b'The Fullerton Hotel Singapore',4749,b'#13 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306173-Reviews-The_Fullerton_Hotel_Singapore-Singapore.html
14,b'Village Hotel Katong by Far East Hospitality',2990,b'#14 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2526267-Reviews-Village_Hotel_Katong_by_Far_East_Hospitality-Singapore.html
15,b'YOTEL Singapore',2169,b'#15 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12559807-Reviews-YOTEL_Singapore-Singapore.html
16,b'Hotel G Singapore',2985,b'#16 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4329102-Reviews-Hotel_G_Singapore-Singapore.html
17,b'Grand Park City Hall',3640,b'#17 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306176-Reviews-Grand_Park_City_Hall-Singapore.html
18,b'Orchard Hotel Singapore',4366,b'#18 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305520-Reviews-Orchard_Hotel_Singapore-Singapore.html
19,b'Capri by Fraser Changi City',1691,b'#19 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3291174-Reviews-Capri_by_Fraser_Changi_City-Singapore.html
20,b'One Farrer Hotel',1859,b'#20 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d6530192-Reviews-One_Farrer_Hotel-Singapore.html
21,b'Royal Plaza on Scotts',4931,b'#21 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d304611-Reviews-Royal_Plaza_on_Scotts-Singapore.html
22,b'PARKROYAL on Pickering',3968,b'#22 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3523347-Reviews-PARKROYAL_on_Pickering-Singapore.html
23,b'Village Hotel Changi by Far East Hospitality',4977,b'#23 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2090222-Reviews-Village_Hotel_Changi_by_Far_East_Hospitality-Singapore.html
24,b'Sofitel Singapore Sentosa Resort & Spa',2488,b'#24 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d302969-Reviews-Sofitel_Singapore_Sentosa_Resort_Spa-Sentosa_Island.html
25,b'Marina Mandarin Singapore',7269,b'#25 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300855-Reviews-Marina_Mandarin_Singapore-Singapore.html
26,b'Grand Hyatt Singapore',3915,b'#26 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306175-Reviews-Grand_Hyatt_Singapore-Singapore.html
27,b'Crowne Plaza Changi Airport',5765,b'#27 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1086295-Reviews-Crowne_Plaza_Changi_Airport-Singapore.html
